MONATSZAHL;AUSPRAEGUNG;JAHR;MONAT;WERT;VORJAHRESWERT;VERAEND_VORMONAT_PROZENT;VERAEND_VORJAHRESMONAT_PROZENT;ZWOELF_MONATE_MITTELWERT
Alkoholunfälle;Verletzte und Getötete;2013;201306;20;35;-476;-4286;14
Alkoholunfälle;Verletzte und Getötete;2013;201307;24;30;20;-20;14
Alkoholunfälle;Verletzte und Getötete;2013;201308;22;31;-833;-2903;13
Alkoholunfälle;Verletzte und Getötete;2013;201309;17;24;-2273;-2917;12
Alkoholunfälle;Verletzte und Getötete;2013;201310;12;6;-2941;100;13
Alkoholunfälle;Verletzte und Getötete;2013;201311;12;10;0;20;13
Alkoholunfälle;Verletzte und Getötete;2013;201312;10;11;-1667;-909;13
Alkoholunfälle;Verletzte und Getötete;2012;Summe;223;198;;1263;
Alkoholunfälle;Verletzte und Getötete;2012;201201;11;16;8333;-3125;16
Alkoholunfälle;Verletzte und Getötete;2012;201202;5;7;-5455;-2857;16
Alkoholunfälle;Verletzte und Getötete;2012;201203;5;9;0;-4444;16
Alkoholunfälle;Verletzte und Getötete;2012;201204;22;27;340;-1852;15
Alkoholunfälle;Verletzte und Getötete;2012;201205;33;20;50;65;16
Alkoholunfälle;Verletzte und Getötete;2012;201206;35;21;606;6667;17
Alkoholunfälle;Verletzte und Getötete;2012;201207;30;27;-1429;1111;18
Alkoholunfälle;Verletzte und Getötete;2012;201208;31;17;333;8235;19
Alkoholunfälle;Verletzte und Getötete;2012;201209;24;22;-2258;909;19
Alkoholunfälle;Verletzte und Getötete;2012;201210;6;10;-75;-40;19
Alkoholunfälle;Verletzte und Getötete;2012;201211;10;16;6667;-375;18
Alkoholunfälle;Verletzte und Getötete;2012;201212;11;6;10;8333;19
Alkoholunfälle;Verletzte und Getötete;2011;Summe;198;201;;-149;
Alkoholunfälle;Verletzte und Getötete;2011;201101;16;7;3333;12857;18
Alkoholunfälle;Verletzte und Getötete;2011;201102;7;10;-5625;-30;17
Alkoholunfälle;Verletzte und Getötete;2011;201103;9;12;2857;-25;17
Alkoholunfälle;Verletzte und Getötete;2011;201104;27;25;200;8;17
Alkoholunfälle;Verletzte und Getötete;2011;201105;20;15;-2593;3333;18
Alkoholunfälle;Verletzte und Getötete;2011;201106;21;20;5;5;18
Alkoholunfälle;Verletzte und Getötete;2011;201107;27;29;2857;-69;18
Alkoholunfälle;Verletzte und Getötete;2011;201108;17;25;-3704;-32;17
Alkoholunfälle;Verletzte und Getötete;2011;201109;22;26;2941;-1538;17
Alkoholunfälle;Verletzte und Getötete;2011;201110;10;13;-5455;-2308;16
Alkoholunfälle;Verletzte und Getötete;2011;201111;16;7;60;12857;17
Alkoholunfälle;Verletzte und Getötete;2011;201112;6;12;-625;-50;17
Alkoholunfälle;Verletzte und Getötete;2010;Summe;201;213;;-563;
Alkoholunfälle;Verletzte und Getötete;2010;201001;7;7;-50;0;18
Alkoholunfälle;Verletzte und Getötete;2010;201002;10;12;4286;-1667;18
Alkoholunfälle;Verletzte und Getötete;2010;201003;12;5;20;140;18
Alkoholunfälle;Verletzte und Getötete;2010;201004;25;31;10833;-1935;18
Alkoholunfälle;Verletzte und Getötete;2010;201005;15;34;-40;-5588;16
Alkoholunfälle;Verletzte und Getötete;2010;201006;20;19;3333;526;16
Alkoholunfälle;Verletzte und Getötete;2010;201007;29;27;45;741;16
Alkoholunfälle;Verletzte und Getötete;2010;201008;25;26;-1379;-385;16
Alkoholunfälle;Verletzte und Getötete;2010;201009;26;18;4;4444;17
Alkoholunfälle;Verletzte und Getötete;2010;201010;13;15;-50;-1333;17
Alkoholunfälle;Verletzte und Getötete;2010;201011;7;5;-4615;40;17
Alkoholunfälle;Verletzte und Getötete;2010;201012;12;14;7143;-1429;17
Alkoholunfälle;Verletzte und Getötete;2009;Summe;213;240;;-1125;
Alkoholunfälle;Verletzte und Getötete;2009;200901;7;8;-65;-125;20
Alkoholunfälle;Verletzte und Getötete;2009;200902;12;16;7143;-25;20
Alkoholunfälle;Verletzte und Getötete;2009;200903;5;9;-5833;-4444;19
Alkoholunfälle;Verletzte und Getötete;2009;200904;31;10;520;210;21
Alkoholunfälle;Verletzte und Getötete;2009;200905;34;37;968;-811;21
Alkoholunfälle;Verletzte und Getötete;2009;200906;19;32;-4412;-4063;20
Alkoholunfälle;Verletzte und Getötete;2009;200907;27;24;4211;125;20
Alkoholunfälle;Verletzte und Getötete;2009;200908;26;23;-37;1304;20
Alkoholunfälle;Verletzte und Getötete;2009;200909;18;28;-3077;-3571;19
Alkoholunfälle;Verletzte und Getötete;2009;200910;15;19;-1667;-2105;19
Alkoholunfälle;Verletzte und Getötete;2009;200911;5;14;-6667;-6429;18
Alkoholunfälle;Verletzte und Getötete;2009;200912;14;20;180;-30;18
Alkoholunfälle;Verletzte und Getötete;2008;Summe;240;281;;-1459;
Alkoholunfälle;Verletzte und Getötete;2008;200801;8;13;-60;-3846;23
Alkoholunfälle;Verletzte und Getötete;2008;200802;16;15;100;667;23
Alkoholunfälle;Verletzte und Getötete;2008;200803;9;14;-4375;-3571;23
Alkoholunfälle;Verletzte und Getötete;2008;200804;10;27;1111;-6296;21
Alkoholunfälle;Verletzte und Getötete;2008;200805;37;39;270;-513;21
Alkoholunfälle;Verletzte und Getötete;2008;200806;32;27;-1351;1852;22
Alkoholunfälle;Verletzte und Getötete;2008;200807;24;38;-25;-3684;20
Alkoholunfälle;Verletzte und Getötete;2008;200808;23;20;-417;15;21
Alkoholunfälle;Verletzte und Getötete;2008;200809;28;24;2174;1667;21
Alkoholunfälle;Verletzte und Getötete;2008;200810;19;18;-3214;556;21
Alkoholunfälle;Verletzte und Getötete;2008;200811;14;26;-2632;-4615;20
Alkoholunfälle;Verletzte und Getötete;2008;200812;20;20;4286;0;20
Alkoholunfälle;Verletzte und Getötete;2007;Summe;281;286;;-175;
Alkoholunfälle;Verletzte und Getötete;2007;200701;13;21;-381;-381;23
Alkoholunfälle;Verletzte und Getötete;2007;200702;15;21;1538;-2857;23
Alkoholunfälle;Verletzte und Getötete;2007;200703;14;14;-667;0;23
Alkoholunfälle;Verletzte und Getötete;2007;200704;27;16;9286;6875;24
Alkoholunfälle;Verletzte und Getötete;2007;200705;39;28;4444;3929;25
Alkoholunfälle;Verletzte und Getötete;2007;200706;27;22;-3077;2273;25
Alkoholunfälle;Verletzte und Getötete;2007;200707;38;37;4074;27;25
Alkoholunfälle;Verletzte und Getötete;2007;200708;20;25;-4737;-20;25
Alkoholunfälle;Verletzte und Getötete;2007;200709;24;35;20;-3143;24
Alkoholunfälle;Verletzte und Getötete;2007;200710;18;24;-25;-25;23
Alkoholunfälle;Verletzte und Getötete;2007;200711;26;22;4444;1818;24
Alkoholunfälle;Verletzte und Getötete;2007;200712;20;21;-2308;-476;23
Alkoholunfälle;Verletzte und Getötete;2006;Summe;286;281;;178;
Alkoholunfälle;Verletzte und Getötete;2006;200601;21;13;75;6154;24
Alkoholunfälle;Verletzte und Getötete;2006;200602;21;14;0;50;25
Alkoholunfälle;Verletzte und Getötete;2006;200603;14;13;-3333;769;25
Alkoholunfälle;Verletzte und Getötete;2006;200604;16;19;1429;-1579;25
Alkoholunfälle;Verletzte und Getötete;2006;200605;28;21;75;3333;25
Alkoholunfälle;Verletzte und Getötete;2006;200606;22;31;-2143;-2903;24
Alkoholunfälle;Verletzte und Getötete;2006;200607;37;26;6818;4231;25
Alkoholunfälle;Verletzte und Getötete;2006;200608;25;33;-3243;-2424;25
Alkoholunfälle;Verletzte und Getötete;2006;200609;35;50;40;-30;23
Alkoholunfälle;Verletzte und Getötete;2006;200610;24;35;-3143;-3143;22
Alkoholunfälle;Verletzte und Getötete;2006;200611;22;14;-833;5714;23
Alkoholunfälle;Verletzte und Getötete;2006;200612;21;12;-455;75;24
Alkoholunfälle;Verletzte und Getötete;2005;Summe;281;304;;-757;
Alkoholunfälle;Verletzte und Getötete;2005;200501;13;10;833;30;26
Alkoholunfälle;Verletzte und Getötete;2005;200502;14;21;769;-3333;25
Alkoholunfälle;Verletzte und Getötete;2005;200503;13;18;-714;-2778;25
Alkoholunfälle;Verletzte und Getötete;2005;200504;19;10;4615;90;25
Alkoholunfälle;Verletzte und Getötete;2005;200505;21;30;1053;-30;25
Alkoholunfälle;Verletzte und Getötete;2005;200506;31;25;4762;24;25
Alkoholunfälle;Verletzte und Getötete;2005;200507;26;44;-1613;-4091;24
Alkoholunfälle;Verletzte und Getötete;2005;200508;33;47;2692;-2979;22
Alkoholunfälle;Verletzte und Getötete;2005;200509;50;41;5152;2195;23
Alkoholunfälle;Verletzte und Getötete;2005;200510;35;26;-30;3462;24
Alkoholunfälle;Verletzte und Getötete;2005;200511;14;20;-60;-30;23
Alkoholunfälle;Verletzte und Getötete;2005;200512;12;12;-1429;0;23
Alkoholunfälle;Verletzte und Getötete;2004;Summe;304;319;;-47;
Alkoholunfälle;Verletzte und Getötete;2004;200401;10;18;-6296;-4444;26
Alkoholunfälle;Verletzte und Getötete;2004;200402;21;16;110;3125;26
Alkoholunfälle;Verletzte und Getötete;2004;200403;18;17;-1429;588;26
Alkoholunfälle;Verletzte und Getötete;2004;200404;10;25;-4444;-60;25
Alkoholunfälle;Verletzte und Getötete;2004;200405;30;26;200;1538;26
Alkoholunfälle;Verletzte und Getötete;2004;200406;25;41;-1667;-3902;24
Alkoholunfälle;Verletzte und Getötete;2004;200407;44;35;76;2571;25
Alkoholunfälle;Verletzte und Getötete;2004;200408;47;40;682;175;26
Alkoholunfälle;Verletzte und Getötete;2004;200409;41;26;-1277;5769;27
Alkoholunfälle;Verletzte und Getötete;2004;200410;26;17;-3659;5294;28
Alkoholunfälle;Verletzte und Getötete;2004;200411;20;31;-2308;-3548;27
Alkoholunfälle;Verletzte und Getötete;2004;200412;12;27;-40;-5556;25
Alkoholunfälle;Verletzte und Getötete;2003;Summe;319;379;;-1583;
Alkoholunfälle;Verletzte und Getötete;2003;200301;18;24;-3333;-25;31
Alkoholunfälle;Verletzte und Getötete;2003;200302;16;22;-1111;-2727;31
Alkoholunfälle;Verletzte und Getötete;2003;200303;17;21;625;-1905;30
Alkoholunfälle;Verletzte und Getötete;2003;200304;25;28;4706;-1071;30
Alkoholunfälle;Verletzte und Getötete;2003;200305;26;32;4;-1875;30
Alkoholunfälle;Verletzte und Getötete;2003;200306;41;42;5769;-238;29
Alkoholunfälle;Verletzte und Getötete;2003;200307;35;40;-1463;-125;29
Alkoholunfälle;Verletzte und Getötete;2003;200308;40;29;1429;3793;30
Alkoholunfälle;Verletzte und Getötete;2003;200309;26;51;-35;-4902;28
Alkoholunfälle;Verletzte und Getötete;2003;200310;17;53;-3462;-6792;25
Alkoholunfälle;Verletzte und Getötete;2003;200311;31;10;8235;210;27
Alkoholunfälle;Verletzte und Getötete;2003;200312;27;27;-129;0;27
Alkoholunfälle;Verletzte und Getötete;2002;Summe;379;391;;-307;
Alkoholunfälle;Verletzte und Getötete;2002;200201;24;36;435;-3333;32
Alkoholunfälle;Verletzte und Getötete;2002;200202;22;20;-833;10;32
Alkoholunfälle;Verletzte und Getötete;2002;200203;21;36;-455;-4167;31
Alkoholunfälle;Verletzte und Getötete;2002;200204;28;32;3333;-125;30
Alkoholunfälle;Verletzte und Getötete;2002;200205;32;32;1429;0;30
Alkoholunfälle;Verletzte und Getötete;2002;200206;42;46;3125;-87;30
Alkoholunfälle;Verletzte und Getötete;2002;200207;40;35;-476;1429;30
Alkoholunfälle;Verletzte und Getötete;2002;200208;29;21;-275;381;31
Alkoholunfälle;Verletzte und Getötete;2002;200209;51;48;7586;625;31
Alkoholunfälle;Verletzte und Getötete;2002;200210;53;37;392;4324;33
Alkoholunfälle;Verletzte und Getötete;2002;200211;10;25;-8113;-60;31
Alkoholunfälle;Verletzte und Getötete;2002;200212;27;23;170;1739;32
Alkoholunfälle;Verletzte und Getötete;2001;Summe;391;376;;399;
Alkoholunfälle;Verletzte und Getötete;2001;200101;36;37;1613;-27;31
Alkoholunfälle;Verletzte und Getötete;2001;200102;20;19;-4444;526;31
Alkoholunfälle;Verletzte und Getötete;2001;200103;36;18;80;100;33
Alkoholunfälle;Verletzte und Getötete;2001;200104;32;26;-1111;2308;33
Alkoholunfälle;Verletzte und Getötete;2001;200105;32;44;0;-2727;32
Alkoholunfälle;Verletzte und Getötete;2001;200106;46;32;4375;4375;34
Alkoholunfälle;Verletzte und Getötete;2001;200107;35;37;-2391;-541;33
Alkoholunfälle;Verletzte und Getötete;2001;200108;21;32;-40;-3438;32
Alkoholunfälle;Verletzte und Getötete;2001;200109;48;45;12857;667;33
Alkoholunfälle;Verletzte und Getötete;2001;200110;37;31;-2292;1935;33
Alkoholunfälle;Verletzte und Getötete;2001;200111;25;24;-3243;417;33
Alkoholunfälle;Verletzte und Getötete;2001;200112;23;31;-8;-2581;33
Alkoholunfälle;Verletzte und Getötete;2000;Summe;376;;;;
Alkoholunfälle;Verletzte und Getötete;2000;200001;37;;;;37
Alkoholunfälle;Verletzte und Getötete;2000;200002;19;;-4865;;28
Alkoholunfälle;Verletzte und Getötete;2000;200003;18;;-526;;25
Alkoholunfälle;Verletzte und Getötete;2000;200004;26;;4444;;25
Alkoholunfälle;Verletzte und Getötete;2000;200005;44;;6923;;29
Alkoholunfälle;Verletzte und Getötete;2000;200006;32;;-2727;;29
Alkoholunfälle;Verletzte und Getötete;2000;200007;37;;1563;;30
Alkoholunfälle;Verletzte und Getötete;2000;200008;32;;-1351;;31
Alkoholunfälle;Verletzte und Getötete;2000;200009;45;;4063;;32
Alkoholunfälle;Verletzte und Getötete;2000;200010;31;;-3111;;32
Alkoholunfälle;Verletzte und Getötete;2000;200011;24;;-2258;;31
Alkoholunfälle;Verletzte und Getötete;2000;200012;31;;2917;;31
Fluchtunfälle;insgesamt;2021;202101;;791;;;
Fluchtunfälle;insgesamt;2021;202102;;870;;;
Fluchtunfälle;insgesamt;2021;202103;;744;;;
Fluchtunfälle;insgesamt;2021;202104;;607;;;
Fluchtunfälle;insgesamt;2021;202105;;859;;;
Fluchtunfälle;insgesamt;2021;202106;;905;;;
Fluchtunfälle;insgesamt;2021;202107;;1010;;;
Fluchtunfälle;insgesamt;2021;202108;;735;;;
Fluchtunfälle;insgesamt;2021;202109;;948;;;
Fluchtunfälle;insgesamt;2021;202110;;997;;;
Fluchtunfälle;insgesamt;2021;202111;;864;;;
Fluchtunfälle;insgesamt;2021;202112;;694;;;
Fluchtunfälle;insgesamt;2020;Summe;10024;11773;;-1486;
Fluchtunfälle;insgesamt;2020;202001;791;927;-1449;-1467;970
Fluchtunfälle;insgesamt;2020;202002;870;883;999;-147;969
Fluchtunfälle;insgesamt;2020;202003;744;1005;-1448;-2597;947
Fluchtunfälle;insgesamt;2020;202004;607;967;-1841;-3723;917
Fluchtunfälle;insgesamt;2020;202005;859;1014;4152;-1529;904
Fluchtunfälle;insgesamt;2020;202006;905;994;536;-895;897
Fluchtunfälle;insgesamt;2020;202007;1010;1187;116;-1491;882
Fluchtunfälle;insgesamt;2020;202008;735;820;-2723;-1037;875
Fluchtunfälle;insgesamt;2020;202009;948;996;2898;-482;871
Fluchtunfälle;insgesamt;2020;202010;997;1088;517;-836;863
Fluchtunfälle;insgesamt;2020;202011;864;967;-1334;-1065;855
Fluchtunfälle;insgesamt;2020;202012;694;925;-1968;-2497;835
Fluchtunfälle;insgesamt;2019;Summe;11773;11648;;107;
Fluchtunfälle;insgesamt;2019;201901;927;860;3;779;976
Fluchtunfälle;insgesamt;2019;201902;883;774;-475;1408;985
Fluchtunfälle;insgesamt;2019;201903;1005;954;1382;535;990
Fluchtunfälle;insgesamt;2019;201904;967;1010;-378;-426;986
Fluchtunfälle;insgesamt;2019;201905;1014;994;486;201;988
Fluchtunfälle;insgesamt;2019;201906;994;1034;-197;-387;984
Fluchtunfälle;insgesamt;2019;201907;1187;1151;1942;313;987
Fluchtunfälle;insgesamt;2019;201908;820;813;-3092;86;988
Fluchtunfälle;insgesamt;2019;201909;996;1102;2146;-962;979
Fluchtunfälle;insgesamt;2019;201910;1088;1127;924;-346;976
Fluchtunfälle;insgesamt;2019;201911;967;929;-1112;409;979
Fluchtunfälle;insgesamt;2019;201912;925;900;-434;278;981
Fluchtunfälle;insgesamt;2018;Summe;11648;11263;;342;
Fluchtunfälle;insgesamt;2018;201801;860;690;-149;2464;953
Fluchtunfälle;insgesamt;2018;201802;774;846;-10;-851;947
Fluchtunfälle;insgesamt;2018;201803;954;1060;2326;-10;938
Fluchtunfälle;insgesamt;2018;201804;1010;895;587;1285;948
Fluchtunfälle;insgesamt;2018;201805;994;1070;-158;-71;941
Fluchtunfälle;insgesamt;2018;201806;1034;948;402;907;948
Fluchtunfälle;insgesamt;2018;201807;1151;1064;1132;818;956
Fluchtunfälle;insgesamt;2018;201808;813;831;-2937;-217;954
Fluchtunfälle;insgesamt;2018;201809;1102;1009;3555;922;962
Fluchtunfälle;insgesamt;2018;201810;1127;1052;227;713;968
Fluchtunfälle;insgesamt;2018;201811;929;925;-1757;43;968
Fluchtunfälle;insgesamt;2018;201812;900;873;-312;309;971
Fluchtunfälle;insgesamt;2017;Summe;11263;11179;;75;
Fluchtunfälle;insgesamt;2017;201701;690;777;-2069;-112;924
Fluchtunfälle;insgesamt;2017;201702;846;775;2261;916;930
Fluchtunfälle;insgesamt;2017;201703;1060;898;253;1804;944
Fluchtunfälle;insgesamt;2017;201704;895;998;-1557;-1032;935
Fluchtunfälle;insgesamt;2017;201705;1070;850;1955;2588;954
Fluchtunfälle;insgesamt;2017;201706;948;1018;-114;-688;948
Fluchtunfälle;insgesamt;2017;201707;1064;1095;1224;-283;945
Fluchtunfälle;insgesamt;2017;201708;831;958;-219;-1326;935
Fluchtunfälle;insgesamt;2017;201709;1009;958;2142;532;939
Fluchtunfälle;insgesamt;2017;201710;1052;1022;426;294;941
Fluchtunfälle;insgesamt;2017;201711;925;960;-1207;-365;938
Fluchtunfälle;insgesamt;2017;201712;873;870;-562;34;939
Fluchtunfälle;insgesamt;2016;Summe;11179;11358;;-158;
Fluchtunfälle;insgesamt;2016;201601;777;781;-1821;-51;946
Fluchtunfälle;insgesamt;2016;201602;775;713;-26;87;951
Fluchtunfälle;insgesamt;2016;201603;898;908;1587;-11;951
Fluchtunfälle;insgesamt;2016;201604;998;966;1114;331;953
Fluchtunfälle;insgesamt;2016;201605;850;940;-1483;-957;946
Fluchtunfälle;insgesamt;2016;201606;1018;952;1976;693;951
Fluchtunfälle;insgesamt;2016;201607;1095;1176;756;-689;944
Fluchtunfälle;insgesamt;2016;201608;958;864;-1251;1088;952
Fluchtunfälle;insgesamt;2016;201609;958;1007;0;-487;948
Fluchtunfälle;insgesamt;2016;201610;1022;1110;668;-793;941
Fluchtunfälle;insgesamt;2016;201611;960;991;-607;-313;938
Fluchtunfälle;insgesamt;2016;201612;870;950;-938;-842;932
Fluchtunfälle;insgesamt;2015;Summe;11358;10846;;472;
Fluchtunfälle;insgesamt;2015;201501;781;778;-59;39;904
Fluchtunfälle;insgesamt;2015;201502;713;742;-871;-391;902
Fluchtunfälle;insgesamt;2015;201503;908;993;2735;-856;895
Fluchtunfälle;insgesamt;2015;201504;966;946;639;211;896
Fluchtunfälle;insgesamt;2015;201505;940;925;-269;162;898
Fluchtunfälle;insgesamt;2015;201506;952;880;128;818;904
Fluchtunfälle;insgesamt;2015;201507;1176;1029;2353;1429;916
Fluchtunfälle;insgesamt;2015;201508;864;802;-2653;773;921
Fluchtunfälle;insgesamt;2015;201509;1007;936;1655;759;927
Fluchtunfälle;insgesamt;2015;201510;1110;1042;1023;653;933
Fluchtunfälle;insgesamt;2015;201511;991;943;-1072;509;937
Fluchtunfälle;insgesamt;2015;201512;950;830;-414;1446;947
Fluchtunfälle;insgesamt;2014;Summe;10846;11186;;-304;
Fluchtunfälle;insgesamt;2014;201401;778;796;-604;-226;931
Fluchtunfälle;insgesamt;2014;201402;742;773;-463;-401;928
Fluchtunfälle;insgesamt;2014;201403;993;906;3383;96;935
Fluchtunfälle;insgesamt;2014;201404;946;1038;-473;-886;928
Fluchtunfälle;insgesamt;2014;201405;925;848;-222;908;934
Fluchtunfälle;insgesamt;2014;201406;880;1055;-486;-1659;920
Fluchtunfälle;insgesamt;2014;201407;1029;1138;1693;-958;910
Fluchtunfälle;insgesamt;2014;201408;802;791;-2206;139;911
Fluchtunfälle;insgesamt;2014;201409;936;1000;1671;-64;906
Fluchtunfälle;insgesamt;2014;201410;1042;1074;1132;-298;903
Fluchtunfälle;insgesamt;2014;201411;943;939;-95;43;904
Fluchtunfälle;insgesamt;2014;201412;830;828;-1198;24;904
Fluchtunfälle;insgesamt;2013;Summe;11186;11105;;73;
Fluchtunfälle;insgesamt;2013;201301;796;713;-173;1164;932
Fluchtunfälle;insgesamt;2013;201302;773;714;-289;826;937
Fluchtunfälle;insgesamt;2013;201303;906;946;1721;-423;934
Fluchtunfälle;insgesamt;2013;201304;1038;919;1457;1295;944
Fluchtunfälle;insgesamt;2013;201305;848;1035;-183;-1807;928
Fluchtunfälle;insgesamt;2013;201306;1055;1041;2441;134;929
Fluchtunfälle;insgesamt;2013;201307;1138;1045;787;89;937
Fluchtunfälle;insgesamt;2013;201308;791;887;-3049;-1082;929
Fluchtunfälle;insgesamt;2013;201309;1000;921;2642;858;936
Fluchtunfälle;insgesamt;2013;201310;1074;1090;74;-147;934
Fluchtunfälle;insgesamt;2013;201311;939;984;-1257;-457;931
Fluchtunfälle;insgesamt;2013;201312;828;810;-1182;222;932
Fluchtunfälle;insgesamt;2012;Summe;11105;10258;;826;
Fluchtunfälle;insgesamt;2012;201201;713;726;-143;-179;854
Fluchtunfälle;insgesamt;2012;201202;714;760;14;-605;850
Fluchtunfälle;insgesamt;2012;201203;946;883;3249;713;855
Fluchtunfälle;insgesamt;2012;201204;919;835;-285;1006;862
Fluchtunfälle;insgesamt;2012;201205;1035;1034;1262;1;862
Fluchtunfälle;insgesamt;2012;201206;1041;783;58;3295;884
Fluchtunfälle;insgesamt;2012;201207;1045;951;38;988;892
Fluchtunfälle;insgesamt;2012;201208;887;790;-1512;1228;900
Fluchtunfälle;insgesamt;2012;201209;921;906;383;166;901
Fluchtunfälle;insgesamt;2012;201210;1090;916;1835;19;915
Fluchtunfälle;insgesamt;2012;201211;984;842;-972;1686;927
Fluchtunfälle;insgesamt;2012;201212;810;832;-1768;-264;925
Fluchtunfälle;insgesamt;2011;Summe;10258;9899;;363;
Fluchtunfälle;insgesamt;2011;201101;726;613;-1568;1843;834
Fluchtunfälle;insgesamt;2011;201102;760;683;468;1127;841
Fluchtunfälle;insgesamt;2011;201103;883;829;1618;651;845
Fluchtunfälle;insgesamt;2011;201104;835;938;-544;-1098;837
Fluchtunfälle;insgesamt;2011;201105;1034;743;2383;3917;861
Fluchtunfälle;insgesamt;2011;201106;783;814;-2427;-381;858
Fluchtunfälle;insgesamt;2011;201107;951;932;2146;204;860
Fluchtunfälle;insgesamt;2011;201108;790;794;-1693;-5;860
Fluchtunfälle;insgesamt;2011;201109;906;955;1468;-513;856
Fluchtunfälle;insgesamt;2011;201110;916;910;11;66;856
Fluchtunfälle;insgesamt;2011;201111;842;827;-808;181;857
Fluchtunfälle;insgesamt;2011;201112;832;861;-119;-337;855
Fluchtunfälle;insgesamt;2010;Summe;9899;9267;;682;
Fluchtunfälle;insgesamt;2010;201001;613;512;-1794;1973;781
Fluchtunfälle;insgesamt;2010;201002;683;802;1142;-1484;771
Fluchtunfälle;insgesamt;2010;201003;829;607;2138;3657;789
Fluchtunfälle;insgesamt;2010;201004;938;776;1315;2088;803
Fluchtunfälle;insgesamt;2010;201005;743;768;-2079;-326;801
Fluchtunfälle;insgesamt;2010;201006;814;678;956;2006;812
Fluchtunfälle;insgesamt;2010;201007;932;991;145;-595;807
Fluchtunfälle;insgesamt;2010;201008;794;752;-1481;559;811
Fluchtunfälle;insgesamt;2010;201009;955;846;2028;1288;820
Fluchtunfälle;insgesamt;2010;201010;910;953;-471;-451;816
Fluchtunfälle;insgesamt;2010;201011;827;835;-912;-96;815
Fluchtunfälle;insgesamt;2010;201012;861;747;411;1526;825
Fluchtunfälle;insgesamt;2009;Summe;9267;9345;;-83;
Fluchtunfälle;insgesamt;2009;200901;512;727;-2207;-2957;761
Fluchtunfälle;insgesamt;2009;200902;802;793;5664;113;762
Fluchtunfälle;insgesamt;2009;200903;607;763;-2431;-2045;749
Fluchtunfälle;insgesamt;2009;200904;776;837;2784;-729;744
Fluchtunfälle;insgesamt;2009;200905;768;871;-103;-1183;735
Fluchtunfälle;insgesamt;2009;200906;678;859;-1172;-2107;720
Fluchtunfälle;insgesamt;2009;200907;991;832;4617;1911;733
Fluchtunfälle;insgesamt;2009;200908;752;760;-2412;-105;732
Fluchtunfälle;insgesamt;2009;200909;846;747;125;1325;741
Fluchtunfälle;insgesamt;2009;200910;953;874;1265;904;747
Fluchtunfälle;insgesamt;2009;200911;835;625;-1238;336;765
Fluchtunfälle;insgesamt;2009;200912;747;657;-1054;137;772
Fluchtunfälle;insgesamt;2008;Summe;9345;9127;;239;
Fluchtunfälle;insgesamt;2008;200801;727;699;536;401;763
Fluchtunfälle;insgesamt;2008;200802;793;612;908;2958;778
Fluchtunfälle;insgesamt;2008;200803;763;411;-378;8564;807
Fluchtunfälle;insgesamt;2008;200804;837;821;97;195;809
Fluchtunfälle;insgesamt;2008;200805;871;858;406;152;810
Fluchtunfälle;insgesamt;2008;200806;859;804;-138;684;814
Fluchtunfälle;insgesamt;2008;200807;832;935;-314;-1102;806
Fluchtunfälle;insgesamt;2008;200808;760;759;-865;13;806
Fluchtunfälle;insgesamt;2008;200809;747;797;-171;-627;802
Fluchtunfälle;insgesamt;2008;200810;874;873;17;11;802
Fluchtunfälle;insgesamt;2008;200811;625;868;-2849;-28;782
Fluchtunfälle;insgesamt;2008;200812;657;690;512;-478;779
Fluchtunfälle;insgesamt;2007;Summe;9127;8629;;577;
Fluchtunfälle;insgesamt;2007;200701;699;708;-191;-127;718
Fluchtunfälle;insgesamt;2007;200702;612;698;-1245;-1232;711
Fluchtunfälle;insgesamt;2007;200703;411;1138;-3284;-6388;651
Fluchtunfälle;insgesamt;2007;200704;821;750;9976;947;657
Fluchtunfälle;insgesamt;2007;200705;858;476;451;8025;688
Fluchtunfälle;insgesamt;2007;200706;804;565;-629;423;708
Fluchtunfälle;insgesamt;2007;200707;935;845;1629;1065;716
Fluchtunfälle;insgesamt;2007;200708;759;774;-1882;-194;715
Fluchtunfälle;insgesamt;2007;200709;797;718;501;11;721
Fluchtunfälle;insgesamt;2007;200710;873;599;954;4574;744
Fluchtunfälle;insgesamt;2007;200711;868;494;-57;7571;775
Fluchtunfälle;insgesamt;2007;200712;690;864;-2051;-2014;761
Fluchtunfälle;insgesamt;2006;Summe;8629;11037;;-2182;
Fluchtunfälle;insgesamt;2006;200601;708;749;-1334;-547;916
Fluchtunfälle;insgesamt;2006;200602;698;961;-141;-2737;894
Fluchtunfälle;insgesamt;2006;200603;1138;1115;6304;206;896
Fluchtunfälle;insgesamt;2006;200604;750;937;-3409;-1996;881
Fluchtunfälle;insgesamt;2006;200605;476;902;-3653;-4723;845
Fluchtunfälle;insgesamt;2006;200606;565;901;187;-3729;817
Fluchtunfälle;insgesamt;2006;200607;845;951;4956;-1115;808
Fluchtunfälle;insgesamt;2006;200608;774;811;-84;-456;805
Fluchtunfälle;insgesamt;2006;200609;718;1086;-724;-3389;775
Fluchtunfälle;insgesamt;2006;200610;599;962;-1657;-3773;744
Fluchtunfälle;insgesamt;2006;200611;494;845;-1753;-4154;715
Fluchtunfälle;insgesamt;2006;200612;864;817;749;575;719
Fluchtunfälle;insgesamt;2005;Summe;11037;10547;;465;
